Country,date,cases
Afghanistan,1/22/20,0
Afghanistan,1/23/20,0
Afghanistan,1/24/20,0
Afghanistan,1/25/20,0
Afghanistan,1/26/20,0
Afghanistan,1/27/20,0
Afghanistan,1/28/20,0
Afghanistan,1/29/20,0
Afghanistan,1/30/20,0
Afghanistan,1/31/20,0
Afghanistan,2/1/20,0
Afghanistan,2/2/20,0
Afghanistan,2/3/20,0
Afghanistan,2/4/20,0
Afghanistan,2/5/20,0
Afghanistan,2/6/20,0
Afghanistan,2/7/20,0
Afghanistan,2/8/20,0
Afghanistan,2/9/20,0
Afghanistan,2/10/20,0
Afghanistan,2/11/20,0
Afghanistan,2/12/20,0
Afghanistan,2/13/20,0
Afghanistan,2/14/20,0
Afghanistan,2/15/20,0
Afghanistan,2/16/20,0
Afghanistan,2/17/20,0
Afghanistan,2/18/20,0
Afghanistan,2/19/20,0
Afghanistan,2/20/20,0
Afghanistan,2/21/20,0
Afghanistan,2/22/20,0
Afghanistan,2/23/20,0
Afghanistan,2/24/20,1
Afghanistan,2/25/20,1
Afghanistan,2/26/20,1
Afghanistan,2/27/20,1
Afghanistan,2/28/20,1
Afghanistan,2/29/20,1
Afghanistan,3/1/20,1
Afghanistan,3/2/20,1
Afghanistan,3/3/20,1
Afghanistan,3/4/20,1
Afghanistan,3/5/20,1
Afghanistan,3/6/20,1
Afghanistan,3/7/20,1
Afghanistan,3/8/20,4
Afghanistan,3/9/20,4
Afghanistan,3/10/20,5
Afghanistan,3/11/20,7
Afghanistan,3/12/20,7
Afghanistan,3/13/20,7
Afghanistan,3/14/20,11
Afghanistan,3/15/20,16
Afghanistan,3/16/20,21
Afghanistan,3/17/20,22
Afghanistan,3/18/20,22
Afghanistan,3/19/20,22
Afghanistan,3/20/20,24
Afghanistan,3/21/20,24
Afghanistan,3/22/20,40
Afghanistan,3/23/20,40
Afghanistan,3/24/20,74
Afghanistan,3/25/20,84
Afghanistan,3/26/20,94
Afghanistan,3/27/20,110
Afghanistan,3/28/20,110
Afghanistan,3/29/20,120
Afghanistan,3/30/20,170
Afghanistan,3/31/20,174
Afghanistan,4/1/20,237
Afghanistan,4/2/20,273
Afghanistan,4/3/20,281
Afghanistan,4/4/20,299
Afghanistan,4/5/20,349
Afghanistan,4/6/20,367
Afghanistan,4/7/20,423
Afghanistan,4/8/20,444
Afghanistan,4/9/20,484
Afghanistan,4/10/20,521
Afghanistan,4/11/20,555
Afghanistan,4/12/20,607
Afghanistan,4/13/20,665
Afghanistan,4/14/20,714
Afghanistan,4/15/20,784
Afghanistan,4/16/20,840
Afghanistan,4/17/20,906
Afghanistan,4/18/20,933
Afghanistan,4/19/20,996
Afghanistan,4/20/20,1026
Afghanistan,4/21/20,1092
Afghanistan,4/22/20,1176
Afghanistan,4/23/20,1279
Afghanistan,4/24/20,1351
Afghanistan,4/25/20,1463
Afghanistan,4/26/20,1531
Afghanistan,4/27/20,1703
Afghanistan,4/28/20,1828
Afghanistan,4/29/20,1939
Afghanistan,4/30/20,2171
Afghanistan,5/1/20,2335
Afghanistan,5/2/20,2469
Afghanistan,5/3/20,2704
Afghanistan,5/4/20,2894
Afghanistan,5/5/20,3224
Afghanistan,5/6/20,3392
Afghanistan,5/7/20,3563
Afghanistan,5/8/20,3778
Afghanistan,5/9/20,4033
Afghanistan,5/10/20,4402
Afghanistan,5/11/20,4687
Afghanistan,5/12/20,4963
Afghanistan,5/13/20,5226
Afghanistan,5/14/20,5639
Afghanistan,5/15/20,6053
Afghanistan,5/16/20,6402
Afghanistan,5/17/20,6664
Afghanistan,5/18/20,7072
Afghanistan,5/19/20,7653
Afghanistan,5/20/20,8145
Afghanistan,5/21/20,8676
Afghanistan,5/22/20,9216
Afghanistan,5/23/20,9998
Afghanistan,5/24/20,10582
Afghanistan,5/25/20,11173
Afghanistan,5/26/20,11831
Afghanistan,5/27/20,12456
Afghanistan,5/28/20,13036
Afghanistan,5/29/20,13659
Afghanistan,5/30/20,14525
Afghanistan,5/31/20,15205
Afghanistan,6/1/20,15750
Afghanistan,6/2/20,16509
Afghanistan,6/3/20,17267
Afghanistan,6/4/20,18054
Afghanistan,6/5/20,18969
Afghanistan,6/6/20,19551
Afghanistan,6/7/20,20342
Afghanistan,6/8/20,20917
Afghanistan,6/9/20,21459
Afghanistan,6/10/20,22142
Afghanistan,6/11/20,22890
Afghanistan,6/12/20,23546
Afghanistan,6/13/20,24102
Afghanistan,6/14/20,24766
Afghanistan,6/15/20,25527
Afghanistan,6/16/20,26310
Afghanistan,6/17/20,26874
Afghanistan,6/18/20,27532
Afghanistan,6/19/20,27878
Afghanistan,6/20/20,28424
Afghanistan,6/21/20,28833
Afghanistan,6/22/20,29157
Afghanistan,6/23/20,29481
Afghanistan,6/24/20,29640
Afghanistan,6/25/20,30175
Afghanistan,6/26/20,30451
Afghanistan,6/27/20,30616
Afghanistan,6/28/20,30967
Afghanistan,6/29/20,31238
Afghanistan,6/30/20,31517
Afghanistan,7/1/20,31836
Afghanistan,7/2/20,32022
Afghanistan,7/3/20,32324
Afghanistan,7/4/20,32672
Afghanistan,7/5/20,32951
Afghanistan,7/6/20,33190
Afghanistan,7/7/20,33384
Afghanistan,7/8/20,33594
Afghanistan,7/9/20,33908
Afghanistan,7/10/20,34194
Afghanistan,7/11/20,34366
Albania,1/22/20,0
Albania,1/23/20,0
Albania,1/24/20,0
Albania,1/25/20,0
Albania,1/26/20,0
Albania,1/27/20,0
Albania,1/28/20,0
Albania,1/29/20,0
Albania,1/30/20,0
Albania,1/31/20,0
Albania,2/1/20,0
Albania,2/2/20,0
Albania,2/3/20,0
Albania,2/4/20,0
Albania,2/5/20,0
Albania,2/6/20,0
Albania,2/7/20,0
Albania,2/8/20,0
Albania,2/9/20,0
Albania,2/10/20,0
Albania,2/11/20,0
Albania,2/12/20,0
Albania,2/13/20,0
Albania,2/14/20,0
Albania,2/15/20,0
Albania,2/16/20,0
Albania,2/17/20,0
Albania,2/18/20,0
Albania,2/19/20,0
Albania,2/20/20,0
Albania,2/21/20,0
Albania,2/22/20,0
Albania,2/23/20,0
Albania,2/24/20,0
Albania,2/25/20,0
Albania,2/26/20,0
Albania,2/27/20,0
Albania,2/28/20,0
Albania,2/29/20,0
Albania,3/1/20,0
Albania,3/2/20,0
Albania,3/3/20,0
Albania,3/4/20,0
Albania,3/5/20,0
Albania,3/6/20,0
Albania,3/7/20,0
Albania,3/8/20,0
Albania,3/9/20,2
Albania,3/10/20,10
Albania,3/11/20,12
Albania,3/12/20,23
Albania,3/13/20,33
Albania,3/14/20,38
Albania,3/15/20,42
Albania,3/16/20,51
Albania,3/17/20,55
Albania,3/18/20,59
Albania,3/19/20,64
Albania,3/20/20,70
Albania,3/21/20,76
Albania,3/22/20,89
Albania,3/23/20,104
Albania,3/24/20,123
Albania,3/25/20,146
Albania,3/26/20,174
Albania,3/27/20,186
Albania,3/28/20,197
Albania,3/29/20,212
Albania,3/30/20,223
Albania,3/31/20,243
Albania,4/1/20,259
Albania,4/2/20,277
Albania,4/3/20,304
Albania,4/4/20,333
Albania,4/5/20,361
Albania,4/6/20,377
Albania,4/7/20,383
Albania,4/8/20,400
Albania,4/9/20,409
Albania,4/10/20,416
Albania,4/11/20,433
Albania,4/12/20,446
Albania,4/13/20,467
Albania,4/14/20,475
Albania,4/15/20,494
Albania,4/16/20,518
Albania,4/17/20,539
Albania,4/18/20,548
Albania,4/19/20,562
Albania,4/20/20,584
Albania,4/21/20,609
Albania,4/22/20,634
Albania,4/23/20,663
Albania,4/24/20,678
Albania,4/25/20,712
Albania,4/26/20,726
Albania,4/27/20,736
Albania,4/28/20,750
Albania,4/29/20,766
Albania,4/30/20,773
Albania,5/1/20,782
Albania,5/2/20,789
Albania,5/3/20,795
Albania,5/4/20,803
Albania,5/5/20,820
Albania,5/6/20,832
Albania,5/7/20,842
Albania,5/8/20,850
Albania,5/9/20,856
Albania,5/10/20,868
Albania,5/11/20,872
Albania,5/12/20,876
Albania,5/13/20,880
Albania,5/14/20,898
Albania,5/15/20,916
Albania,5/16/20,933
Albania,5/17/20,946
Albania,5/18/20,948
Albania,5/19/20,949
Albania,5/20/20,964
Albania,5/21/20,969
Albania,5/22/20,981
Albania,5/23/20,989
Albania,5/24/20,998
Albania,5/25/20,1004
Albania,5/26/20,1029
Albania,5/27/20,1050
Albania,5/28/20,1076
Albania,5/29/20,1099
Albania,5/30/20,1122
Albania,5/31/20,1137
Albania,6/1/20,1143
Albania,6/2/20,1164
Albania,6/3/20,1184
Albania,6/4/20,1197
Albania,6/5/20,1212
Albania,6/6/20,1232
Albania,6/7/20,1246
Albania,6/8/20,1263
Albania,6/9/20,1299
Albania,6/10/20,1341
Albania,6/11/20,1385
Albania,6/12/20,1416
Albania,6/13/20,1464
Albania,6/14/20,1521
Albania,6/15/20,1590
Albania,6/16/20,1672
Albania,6/17/20,1722
Albania,6/18/20,1788
Albania,6/19/20,1838
Albania,6/20/20,1891
Albania,6/21/20,1962
Albania,6/22/20,1995
Albania,6/23/20,2047
Albania,6/24/20,2114
Albania,6/25/20,2192
Albania,6/26/20,2269
Albania,6/27/20,2330
Albania,6/28/20,2402
Albania,6/29/20,2466
Albania,6/30/20,2535
Albania,7/1/20,2580
Albania,7/2/20,2662
Albania,7/3/20,2752
Albania,7/4/20,2819
Albania,7/5/20,2893
Albania,7/6/20,2964
Albania,7/7/20,3038
Albania,7/8/20,3106
Albania,7/9/20,3188
Albania,7/10/20,3278
Albania,7/11/20,3371
Algeria,1/22/20,0
Algeria,1/23/20,0
Algeria,1/24/20,0
Algeria,1/25/20,0
Algeria,1/26/20,0
Algeria,1/27/20,0
Algeria,1/28/20,0
Algeria,1/29/20,0
Algeria,1/30/20,0
Algeria,1/31/20,0
Algeria,2/1/20,0
Algeria,2/2/20,0
Algeria,2/3/20,0
Algeria,2/4/20,0
Algeria,2/5/20,0
Algeria,2/6/20,0
Algeria,2/7/20,0
Algeria,2/8/20,0
Algeria,2/9/20,0
Algeria,2/10/20,0
Algeria,2/11/20,0
Algeria,2/12/20,0
Algeria,2/13/20,0
Algeria,2/14/20,0
Algeria,2/15/20,0
Algeria,2/16/20,0
Algeria,2/17/20,0
Algeria,2/18/20,0
Algeria,2/19/20,0
Algeria,2/20/20,0
Algeria,2/21/20,0
Algeria,2/22/20,0
Algeria,2/23/20,0
Algeria,2/24/20,0
Algeria,2/25/20,1
Algeria,2/26/20,1
Algeria,2/27/20,1
Algeria,2/28/20,1
Algeria,2/29/20,1
Algeria,3/1/20,1
Algeria,3/2/20,3
Algeria,3/3/20,5
Algeria,3/4/20,12
Algeria,3/5/20,12
Algeria,3/6/20,17
Algeria,3/7/20,17
Algeria,3/8/20,19
Algeria,3/9/20,20
Algeria,3/10/20,20
Algeria,3/11/20,20
Algeria,3/12/20,24
Algeria,3/13/20,26
Algeria,3/14/20,37
Algeria,3/15/20,48
Algeria,3/16/20,54
Algeria,3/17/20,60
Algeria,3/18/20,74
Algeria,3/19/20,87
Algeria,3/20/20,90
Algeria,3/21/20,139
Algeria,3/22/20,201
Algeria,3/23/20,230
Algeria,3/24/20,264
Algeria,3/25/20,302
Algeria,3/26/20,367
Algeria,3/27/20,409
Algeria,3/28/20,454
Algeria,3/29/20,511
Algeria,3/30/20,584
Algeria,3/31/20,716
Algeria,4/1/20,847
Algeria,4/2/20,986
Algeria,4/3/20,1171
Algeria,4/4/20,1251
Algeria,4/5/20,1320
Algeria,4/6/20,1423
Algeria,4/7/20,1468
Algeria,4/8/20,1572
Algeria,4/9/20,1666
Algeria,4/10/20,1761
Algeria,4/11/20,1825
Algeria,4/12/20,1914
Algeria,4/13/20,1983
Algeria,4/14/20,2070
Algeria,4/15/20,2160
Algeria,4/16/20,2268
Algeria,4/17/20,2418
Algeria,4/18/20,2534
Algeria,4/19/20,2629
Algeria,4/20/20,2718
Algeria,4/21/20,2811
Algeria,4/22/20,2910
Algeria,4/23/20,3007
Algeria,4/24/20,3127
Algeria,4/25/20,3256
Algeria,4/26/20,3382
Algeria,4/27/20,3517
Algeria,4/28/20,3649
Algeria,4/29/20,3848
Algeria,4/30/20,4006
Algeria,5/1/20,4154
Algeria,5/2/20,4295
Algeria,5/3/20,4474
Algeria,5/4/20,4648
Algeria,5/5/20,4838
Algeria,5/6/20,4997
Algeria,5/7/20,5182
Algeria,5/8/20,5369
Algeria,5/9/20,5558
Algeria,5/10/20,5723
Algeria,5/11/20,5891
Algeria,5/12/20,6067
Algeria,5/13/20,6253
Algeria,5/14/20,6442
Algeria,5/15/20,6629
Algeria,5/16/20,6821
Algeria,5/17/20,7019
Algeria,5/18/20,7201
Algeria,5/19/20,7377
Algeria,5/20/20,7542
Algeria,5/21/20,7728
Algeria,5/22/20,7918
Algeria,5/23/20,8113
Algeria,5/24/20,8306
Algeria,5/25/20,8503
Algeria,5/26/20,8697
Algeria,5/27/20,8857
Algeria,5/28/20,8997
Algeria,5/29/20,9134
Algeria,5/30/20,9267
Algeria,5/31/20,9394
Algeria,6/1/20,9513
Algeria,6/2/20,9626
Algeria,6/3/20,9733
Algeria,6/4/20,9831
Algeria,6/5/20,9935
Algeria,6/6/20,10050
Algeria,6/7/20,10154
Algeria,6/8/20,10265
Algeria,6/9/20,10382
Algeria,6/10/20,10484
Algeria,6/11/20,10589
Algeria,6/12/20,10698
Algeria,6/13/20,10810
Algeria,6/14/20,10919
Algeria,6/15/20,11031
Algeria,6/16/20,11147
Algeria,6/17/20,11268
Algeria,6/18/20,11385
Algeria,6/19/20,11504
Algeria,6/20/20,11631
Algeria,6/21/20,11771
Algeria,6/22/20,11920
Algeria,6/23/20,12076
Algeria,6/24/20,12248
Algeria,6/25/20,12445
Algeria,6/26/20,12685
Algeria,6/27/20,12968
Algeria,6/28/20,13273
Algeria,6/29/20,13571
Algeria,6/30/20,13907
Algeria,7/1/20,14272
Algeria,7/2/20,14657
Algeria,7/3/20,15070
Algeria,7/4/20,15500
Algeria,7/5/20,15941
Algeria,7/6/20,16404
Algeria,7/7/20,16879
Algeria,7/8/20,17348
Algeria,7/9/20,17808
Algeria,7/10/20,18242
Algeria,7/11/20,18712
Andorra,1/22/20,0
Andorra,1/23/20,0
Andorra,1/24/20,0
Andorra,1/25/20,0
Andorra,1/26/20,0
Andorra,1/27/20,0
Andorra,1/28/20,0
Andorra,1/29/20,0
Andorra,1/30/20,0
Andorra,1/31/20,0
Andorra,2/1/20,0
Andorra,2/2/20,0
Andorra,2/3/20,0
Andorra,2/4/20,0
Andorra,2/5/20,0
Andorra,2/6/20,0
Andorra,2/7/20,0
Andorra,2/8/20,0
Andorra,2/9/20,0
Andorra,2/10/20,0
Andorra,2/11/20,0
Andorra,2/12/20,0
Andorra,2/13/20,0
Andorra,2/14/20,0
Andorra,2/15/20,0
Andorra,2/16/20,0
Andorra,2/17/20,0
Andorra,2/18/20,0
Andorra,2/19/20,0
Andorra,2/20/20,0
Andorra,2/21/20,0
Andorra,2/22/20,0
Andorra,2/23/20,0
Andorra,2/24/20,0
Andorra,2/25/20,0
Andorra,2/26/20,0
Andorra,2/27/20,0
Andorra,2/28/20,0
Andorra,2/29/20,0
Andorra,3/1/20,0
Andorra,3/2/20,1
Andorra,3/3/20,1
Andorra,3/4/20,1
Andorra,3/5/20,1
Andorra,3/6/20,1
Andorra,3/7/20,1
Andorra,3/8/20,1
Andorra,3/9/20,1
Andorra,3/10/20,1
Andorra,3/11/20,1
Andorra,3/12/20,1
Andorra,3/13/20,1
Andorra,3/14/20,1
Andorra,3/15/20,1
Andorra,3/16/20,2
Andorra,3/17/20,39
Andorra,3/18/20,39
Andorra,3/19/20,53
Andorra,3/20/20,75
Andorra,3/21/20,88
Andorra,3/22/20,113
Andorra,3/23/20,133
Andorra,3/24/20,164
Andorra,3/25/20,188
Andorra,3/26/20,224
Andorra,3/27/20,267
Andorra,3/28/20,308
Andorra,3/29/20,334
Andorra,3/30/20,370
Andorra,3/31/20,376
Andorra,4/1/20,390
Andorra,4/2/20,428
Andorra,4/3/20,439
Andorra,4/4/20,466
Andorra,4/5/20,501
Andorra,4/6/20,525
Andorra,4/7/20,545
Andorra,4/8/20,564
Andorra,4/9/20,583
Andorra,4/10/20,601
Andorra,4/11/20,601
Andorra,4/12/20,638
Andorra,4/13/20,646
Andorra,4/14/20,659
Andorra,4/15/20,673
Andorra,4/16/20,673
Andorra,4/17/20,696
Andorra,4/18/20,704
Andorra,4/19/20,713
Andorra,4/20/20,717
Andorra,4/21/20,717
Andorra,4/22/20,723
Andorra,4/23/20,723
Andorra,4/24/20,731
Andorra,4/25/20,738
Andorra,4/26/20,738
Andorra,4/27/20,743
Andorra,4/28/20,743
Andorra,4/29/20,743
Andorra,4/30/20,745
Andorra,5/1/20,745
Andorra,5/2/20,747
Andorra,5/3/20,748
Andorra,5/4/20,750
Andorra,5/5/20,751
Andorra,5/6/20,751
Andorra,5/7/20,752
Andorra,5/8/20,752
Andorra,5/9/20,754
Andorra,5/10/20,755
Andorra,5/11/20,755
Andorra,5/12/20,758
Andorra,5/13/20,760
Andorra,5/14/20,761
Andorra,5/15/20,761
Andorra,5/16/20,761
Andorra,5/17/20,761
Andorra,5/18/20,761
Andorra,5/19/20,761
Andorra,5/20/20,762
Andorra,5/21/20,762
Andorra,5/22/20,762
Andorra,5/23/20,762
Andorra,5/24/20,762
Andorra,5/25/20,763
Andorra,5/26/20,763
Andorra,5/27/20,763
Andorra,5/28/20,763
Andorra,5/29/20,764
Andorra,5/30/20,764
Andorra,5/31/20,764
Andorra,6/1/20,765
Andorra,6/2/20,844
Andorra,6/3/20,851
Andorra,6/4/20,852
Andorra,6/5/20,852
Andorra,6/6/20,852
Andorra,6/7/20,852
Andorra,6/8/20,852
Andorra,6/9/20,852
Andorra,6/10/20,852
Andorra,6/11/20,852
Andorra,6/12/20,853
Andorra,6/13/20,853
Andorra,6/14/20,853
Andorra,6/15/20,853
Andorra,6/16/20,854
Andorra,6/17/20,854
Andorra,6/18/20,855
Andorra,6/19/20,855
Andorra,6/20/20,855
Andorra,6/21/20,855
Andorra,6/22/20,855
Andorra,6/23/20,855
Andorra,6/24/20,855
Andorra,6/25/20,855
Andorra,6/26/20,855
Andorra,6/27/20,855
Andorra,6/28/20,855
Andorra,6/29/20,855
Andorra,6/30/20,855
Andorra,7/1/20,855
Andorra,7/2/20,855
Andorra,7/3/20,855
Andorra,7/4/20,855
Andorra,7/5/20,855
Andorra,7/6/20,855
Andorra,7/7/20,855
Andorra,7/8/20,855
Andorra,7/9/20,855
Andorra,7/10/20,855
Andorra,7/11/20,855
Angola,1/22/20,0
Angola,1/23/20,0
Angola,1/24/20,0
Angola,1/25/20,0
Angola,1/26/20,0
Angola,1/27/20,0
Angola,1/28/20,0
Angola,1/29/20,0
Angola,1/30/20,0
Angola,1/31/20,0
Angola,2/1/20,0
Angola,2/2/20,0
Angola,2/3/20,0
Angola,2/4/20,0
Angola,2/5/20,0
Angola,2/6/20,0
Angola,2/7/20,0
Angola,2/8/20,0
Angola,2/9/20,0
